District,Name,Party,#,District Wiki URL,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points,Vote on H.R.1968,Vote on 1968 Points,,,Sum
Idaho 2,Mike Simpson,Republican,134,https://en.wikipedia.org/wiki/Idaho%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Mike_Simpson,Yea,,-1,Yea,-1,,,-2
Illinois 1,Jonathan Jackson,Democratic,135,https://en.wikipedia.org/wiki/Illinois%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Jonathan_Jackson_(Illinois_politician),Nay,,1,Nay,1,,,2
Illinois 2,Robin Kelly,Democratic,136,https://en.wikipedia.org/wiki/Illinois%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Robin_Kelly,Nay,,1,Nay,1,,,2
Illinois 3,Delia Ramirez,Democratic,137,https://en.wikipedia.org/wiki/Illinois%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Delia_Ramirez,Nay,,1,Nay,1,,,2
Illinois 4,Chuy García,Democratic,138,https://en.wikipedia.org/wiki/Illinois%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Chuy_Garc%C3%ADa,Nay,,1,Nay,1,,,2
Illinois 5,Mike Quigley,Democratic,139,https://en.wikipedia.org/wiki/Illinois%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Mike_Quigley,Nay,,1,Nay,1,,,2
Illinois 6,Sean Casten,Democratic,140,https://en.wikipedia.org/wiki/Illinois%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Sean_Casten,Nay,,1,Nay,1,,,2
Illinois 7,Danny Davis,Democratic,141,https://en.wikipedia.org/wiki/Illinois%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Danny_Davis_(Illinois_politician),Nay,,1,Nay,1,,,2
Illinois 8,Raja Krishnamoorthi,Democratic,142,https://en.wikipedia.org/wiki/Illinois%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Raja_Krishnamoorthi,Nay,,1,Nay,1,,,2
Illinois 9,Jan Schakowsky,Democratic,143,https://en.wikipedia.org/wiki/Illinois%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Jan_Schakowsky,Nay,,1,Nay,1,,,2
Illinois 10,Brad Schneider,Democratic,144,https://en.wikipedia.org/wiki/Illinois%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Brad_Schneider,Not Voting,,0,Nay,1,,,1
Illinois 11,Bill Foster,Democratic,145,https://en.wikipedia.org/wiki/Illinois%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Bill_Foster_(politician),Nay,,1,Nay,1,,,2
Illinois 12,Mike Bost,Republican,146,https://en.wikipedia.org/wiki/Illinois%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Mike_Bost,Yea,,-1,Yea,-1,,,-2
Illinois 13,Nikki Budzinski,Democratic,147,https://en.wikipedia.org/wiki/Illinois%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Nikki_Budzinski,Yea,,-1,Nay,1,,,0
Illinois 14,Lauren Underwood,Democratic,148,https://en.wikipedia.org/wiki/Illinois%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Lauren_Underwood,Nay,,1,Nay,1,,,2
Illinois 15,Mary Miller,Republican,149,https://en.wikipedia.org/wiki/Illinois%27s_15th_congressional_district,https://en.wikipedia.org/wiki/Mary_Miller_(politician),Yea,,-1,Yea,-1,,,-2
Illinois 16,Darin LaHood,Republican,150,https://en.wikipedia.org/wiki/Illinois%27s_16th_congressional_district,https://en.wikipedia.org/wiki/Darin_LaHood,Yea,,-1,Yea,-1,,,-2
Illinois 17,Eric Sorensen,Democratic,151,https://en.wikipedia.org/wiki/Illinois%27s_17th_congressional_district,https://en.wikipedia.org/wiki/Eric_Sorensen_(politician),Yea,,-1,Nay,1,,,0
Indiana 1,Frank J. Mrvan,Democratic,152,https://en.wikipedia.org/wiki/Indiana%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Frank_J._Mrvan,Not Voting,,0,Nay,1,,,1
Indiana 2,Rudy Yakym,Republican,153,https://en.wikipedia.org/wiki/Indiana%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Rudy_Yakym,Yea,,-1,Yea,-1,,,-2
Indiana 3,Marlin Stutzman,Republican,154,https://en.wikipedia.org/wiki/Indiana%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Marlin_Stutzman,Yea,,-1,Yea,-1,,,-2
Indiana 4,Jim Baird,Republican,155,https://en.wikipedia.org/wiki/Indiana%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Jim_Baird_(American_politician),Yea,,-1,Yea,-1,,,-2
Indiana 5,Victoria Spartz,Republican,156,https://en.wikipedia.org/wiki/Indiana%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Victoria_Spartz,Yea,,-1,Yea,-1,,,-2
Indiana 6,Jefferson Shreve,Republican,157,https://en.wikipedia.org/wiki/Indiana%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Jefferson_Shreve,Yea,,-1,Yea,-1,,,-2
Indiana 7,André Carson,Democratic,158,https://en.wikipedia.org/wiki/Indiana%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Andr%C3%A9_Carson,Nay,,1,Nay,1,,,2
Indiana 8,Mark Messmer,Republican,159,https://en.wikipedia.org/wiki/Indiana%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Mark_Messmer,Yea,,-1,Yea,-1,,,-2
Indiana 9,Erin Houchin,Republican,160,https://en.wikipedia.org/wiki/Indiana%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Erin_Houchin,Yea,,-1,Yea,-1,,,-2
Iowa 1,Mariannette Miller-Meeks,Republican,161,https://en.wikipedia.org/wiki/Iowa%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Mariannette_Miller-Meeks,Yea,,-1,Yea,-1,,,-2
Iowa 2,Ashley Hinson,Republican,162,https://en.wikipedia.org/wiki/Iowa%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Ashley_Hinson,Yea,,-1,Yea,-1,,,-2
Iowa 3,Zach Nunn,Republican,163,https://en.wikipedia.org/wiki/Iowa%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Zach_Nunn,Yea,,-1,Yea,-1,,,-2
Iowa 4,Randy Feenstra,Republican,164,https://en.wikipedia.org/wiki/Iowa%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Randy_Feenstra,Yea,,-1,Yea,-1,,,-2
Kansas 1,Tracey Mann,Republican,165,https://en.wikipedia.org/wiki/Kansas%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Tracey_Mann,Yea,,-1,Yea,-1,,,-2
Kansas 2,Derek Schmidt,Republican,166,https://en.wikipedia.org/wiki/Kansas%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Derek_Schmidt,Yea,,-1,Yea,-1,,,-2
Kansas 3,Sharice Davids,Democratic,167,https://en.wikipedia.org/wiki/Kansas%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Sharice_Davids,Yea,,-1,Nay,1,,,0
Kansas 4,Ron Estes,Republican,168,https://en.wikipedia.org/wiki/Kansas%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Ron_Estes,Yea,,-1,Yea,-1,,,-2
Kentucky 1,James Comer,Republican,169,https://en.wikipedia.org/wiki/Kentucky%27s_1st_congressional_district,https://en.wikipedia.org/wiki/James_Comer_(politician),Yea,,-1,Yea,-1,,,-2
Kentucky 2,Brett Guthrie,Republican,170,https://en.wikipedia.org/wiki/Kentucky%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Brett_Guthrie,Yea,,-1,Yea,-1,,,-2
Kentucky 3,Morgan McGarvey,Democratic,171,https://en.wikipedia.org/wiki/Kentucky%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Morgan_McGarvey,Nay,,1,Nay,1,,,2
Kentucky 4,Thomas Massie,Republican,172,https://en.wikipedia.org/wiki/Kentucky%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Thomas_Massie,Yea,,-1,Yea,-1,,,-2
Kentucky 5,Hal Rogers,Republican,173,https://en.wikipedia.org/wiki/Kentucky%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Hal_Rogers,Yea,,-1,Yea,-1,,,-2
Kentucky 6,Andy Barr,Republican,174,https://en.wikipedia.org/wiki/Kentucky%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Andy_Barr_(American_politician),Yea,,-1,Yea,-1,,,-2
Louisiana 1,Steve Scalise,Republican,175,https://en.wikipedia.org/wiki/Louisiana%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Steve_Scalise,Yea,,-1,Yea,-1,,,-2
Louisiana 2,Troy Carter,Democratic,176,https://en.wikipedia.org/wiki/Louisiana%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Troy_Carter_(politician),Nay,,1,Nay,1,,,2
Louisiana 3,Clay Higgins,Republican,177,https://en.wikipedia.org/wiki/Louisiana%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Clay_Higgins,Yea,,-1,Yea,-1,,,-2
Louisiana 4,Mike Johnson,Republican,178,https://en.wikipedia.org/wiki/Louisiana%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Mike_Johnson,Yea,,-1,Yea,-1,,,-2
Louisiana 5,Julia Letlow,Republican,179,https://en.wikipedia.org/wiki/Louisiana%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Julia_Letlow,Yea,,-1,Yea,-1,,,-2
Louisiana 6,Cleo Fields,Democratic,180,https://en.wikipedia.org/wiki/Louisiana%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Cleo_Fields,Nay,,1,Nay,1,,,2
Maine 1,Chellie Pingree,Democratic,181,https://en.wikipedia.org/wiki/Maine%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Chellie_Pingree,Nay,,1,Nay,1,,,2
Maine 2,Jared Golden,Democratic,182,https://en.wikipedia.org/wiki/Maine%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Jared_Golden,Yea,,-1,Nay,1,,,0
Maryland 1,Andy Harris,Republican,183,https://en.wikipedia.org/wiki/Maryland%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Andy_Harris_(politician),Yea,,-1,Yea,-1,,,-2
Maryland 2,Johnny Olszewski,Democratic,184,https://en.wikipedia.org/wiki/Maryland%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Johnny_Olszewski,Nay,,1,Nay,1,,,2
Maryland 3,Sarah Elfreth,Democratic,185,https://en.wikipedia.org/wiki/Maryland%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Sarah_Elfreth,Nay,,1,Nay,1,,,2
Maryland 4,Glenn Ivey,Democratic,186,https://en.wikipedia.org/wiki/Maryland%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Glenn_Ivey,Nay,,1,Nay,1,,,2
Maryland 5,Steny Hoyer,Democratic,187,https://en.wikipedia.org/wiki/Maryland%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Steny_Hoyer,Nay,,1,Nay,1,,,2
Maryland 6,April McClain Delaney,Democratic,188,https://en.wikipedia.org/wiki/Maryland%27s_6th_congressional_district,https://en.wikipedia.org/wiki/April_McClain_Delaney,Yea,,-1,Nay,1,,,0
Maryland 7,Kweisi Mfume,Democratic,189,https://en.wikipedia.org/wiki/Maryland%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Kweisi_Mfume,Nay,,1,Nay,1,,,2
Maryland 8,Jamie Raskin,Democratic,190,https://en.wikipedia.org/wiki/Maryland%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Jamie_Raskin,Nay,,1,Nay,1,,,2
Massachusetts 1,Richard Neal,Democratic,191,https://en.wikipedia.org/wiki/Massachusetts%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Richard_Neal,Nay,,1,Nay,1,,,2
Massachusetts 2,Jim McGovern,Democratic,192,https://en.wikipedia.org/wiki/Massachusetts%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Jim_McGovern_(American_politician),Nay,,1,Nay,1,,,2
Massachusetts 3,Lori Trahan,Democratic,193,https://en.wikipedia.org/wiki/Massachusetts%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Lori_Trahan,Nay,,1,Nay,1,,,2
Massachusetts 4,Jake Auchincloss,Democratic,194,https://en.wikipedia.org/wiki/Massachusetts%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Jake_Auchincloss,Nay,,1,Nay,1,,,2
Massachusetts 5,Katherine Clark,Democratic,195,https://en.wikipedia.org/wiki/Massachusetts%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Katherine_Clark,Nay,,1,Nay,1,,,2
Massachusetts 6,Seth Moulton,Democratic,196,https://en.wikipedia.org/wiki/Massachusetts%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Seth_Moulton,Nay,,1,Nay,1,,,2
Massachusetts 7,Ayanna Pressley,Democratic,197,https://en.wikipedia.org/wiki/Massachusetts%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Ayanna_Pressley,Nay,,1,Nay,1,,,2
Massachusetts 8,Stephen F. Lynch,Democratic,198,https://en.wikipedia.org/wiki/Massachusetts%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Stephen_F._Lynch,Yea,,-1,Nay,1,,,0
Massachusetts 9,Bill Keating,Democratic,199,https://en.wikipedia.org/wiki/Massachusetts%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Bill_Keating_(politician),Nay,,1,Nay,1,,,2
Michigan 1,Jack Bergman,Republican,200,https://en.wikipedia.org/wiki/Michigan%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Jack_Bergman,Yea,,-1,Yea,-1,,,-2
Michigan 2,John Moolenaar,Republican,201,https://en.wikipedia.org/wiki/Michigan%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/John_Moolenaar,Yea,,-1,Yea,-1,,,-2
Michigan 3,Hillary Scholten,Democratic,202,https://en.wikipedia.org/wiki/Michigan%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Hillary_Scholten,Yea,,-1,Nay,1,,,0
Michigan 4,Bill Huizenga,Republican,203,https://en.wikipedia.org/wiki/Michigan%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Bill_Huizenga,Yea,,-1,Yea,-1,,,-2
Michigan 5,Tim Walberg,Republican,204,https://en.wikipedia.org/wiki/Michigan%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Tim_Walberg,Yea,,-1,Yea,-1,,,-2
Michigan 6,Debbie Dingell,Democratic,205,https://en.wikipedia.org/wiki/Michigan%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Debbie_Dingell,Not Voting,,0,Nay,1,,,1
Michigan 7,Tom Barrett,Republican,206,https://en.wikipedia.org/wiki/Michigan%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Tom_Barrett_(Michigan_politician),Yea,,-1,Yea,-1,,,-2
Michigan 8,Kristen McDonald Rivet,Democratic,207,https://en.wikipedia.org/wiki/Michigan%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Kristen_McDonald_Rivet,Yea,,-1,Nay,1,,,0
Michigan 9,Lisa McClain,Republican,208,https://en.wikipedia.org/wiki/Michigan%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Lisa_McClain,Yea,,-1,Yea,-1,,,-2
Michigan 10,John James,Republican,209,https://en.wikipedia.org/wiki/Michigan%27s_10th_congressional_district,https://en.wikipedia.org/wiki/John_James_(Michigan_politician),Yea,,-1,Yea,-1,,,-2
Michigan 11,Haley Stevens,Democratic,210,https://en.wikipedia.org/wiki/Michigan%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Haley_Stevens,Nay,,1,Nay,1,,,2
Michigan 12,Rashida Tlaib,Democratic,211,https://en.wikipedia.org/wiki/Michigan%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Rashida_Tlaib,Nay,,1,Nay,1,,,2
Michigan 13,Shri Thanedar,Democratic,212,https://en.wikipedia.org/wiki/Michigan%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Shri_Thanedar,Not Voting,,0,Nay,1,,,1
Minnesota 1,Brad Finstad,Republican,213,https://en.wikipedia.org/wiki/Minnesota%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Brad_Finstad,Yea,,-1,Yea,-1,,,-2
Minnesota 2,Angie Craig,Democratic,214,https://en.wikipedia.org/wiki/Minnesota%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Angie_Craig,Yea,,-1,Nay,1,,,0
Minnesota 3,Kelly Morrison,Democratic,215,https://en.wikipedia.org/wiki/Minnesota%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Kelly_Morrison,Nay,,1,Nay,1,,,2
Minnesota 4,Betty McCollum,Democratic,216,https://en.wikipedia.org/wiki/Minnesota%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Betty_McCollum,Nay,,1,Nay,1,,,2
Minnesota 5,Ilhan Omar,Democratic,217,https://en.wikipedia.org/wiki/Minnesota%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Ilhan_Omar,Nay,,1,Nay,1,,,2
Minnesota 6,Tom Emmer,Republican,218,https://en.wikipedia.org/wiki/Minnesota%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Tom_Emmer,Yea,,-1,Yea,-1,,,-2
Minnesota 7,Michelle Fischbach,Republican,219,https://en.wikipedia.org/wiki/Minnesota%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Michelle_Fischbach,Yea,,-1,Yea,-1,,,-2
Minnesota 8,Pete Stauber,Republican,220,https://en.wikipedia.org/wiki/Minnesota%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Pete_Stauber,Yea,,-1,Yea,-1,,,-2
Mississippi 1,Trent Kelly,Republican,221,https://en.wikipedia.org/wiki/Mississippi%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Trent_Kelly,Yea,,-1,Yea,-1,,,-2
Mississippi 2,Bennie Thompson,Democratic,222,https://en.wikipedia.org/wiki/Mississippi%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Bennie_Thompson,Nay,,1,Nay,1,,,2
Mississippi 3,Michael Guest,Republican,223,https://en.wikipedia.org/wiki/Mississippi%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Michael_Guest_(politician),Yea,,-1,Yea,-1,,,-2
Mississippi 4,Mike Ezell,Republican,224,https://en.wikipedia.org/wiki/Mississippi%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Mike_Ezell,Yea,,-1,Yea,-1,,,-2
Missouri 1,Wesley Bell,Democratic,225,https://en.wikipedia.org/wiki/Missouri%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Wesley_Bell,Nay,,1,Nay,1,,,2
Missouri 2,Ann Wagner,Republican,226,https://en.wikipedia.org/wiki/Missouri%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Ann_Wagner,Yea,,-1,Yea,-1,,,-2
Missouri 3,Bob Onder,Republican,227,https://en.wikipedia.org/wiki/Missouri%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Bob_Onder,Yea,,-1,Yea,-1,,,-2
Missouri 4,Mark Alford,Republican,228,https://en.wikipedia.org/wiki/Missouri%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Mark_Alford_(politician),Yea,,-1,Yea,-1,,,-2
Missouri 5,Emanuel Cleaver,Democratic,229,https://en.wikipedia.org/wiki/Missouri%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Emanuel_Cleaver,Nay,,1,Nay,1,,,2
Missouri 6,Sam Graves,Republican,230,https://en.wikipedia.org/wiki/Missouri%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Sam_Graves,Yea,,-1,Yea,-1,,,-2
Missouri 7,Eric Burlison,Republican,231,https://en.wikipedia.org/wiki/Missouri%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Eric_Burlison,Yea,,-1,Yea,-1,,,-2
Missouri 8,Jason Smith,Republican,232,https://en.wikipedia.org/wiki/Missouri%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Jason_Smith_(American_politician),Yea,,-1,Yea,-1,,,-2
Montana 1,Ryan Zinke,Republican,233,https://en.wikipedia.org/wiki/Montana%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Ryan_Zinke,Yea,,-1,Yea,-1,,,-2
Montana 2,Troy Downing,Republican,234,https://en.wikipedia.org/wiki/Montana%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Troy_Downing,Yea,,-1,Yea,-1,,,-2
Nebraska 1,Mike Flood,Republican,235,https://en.wikipedia.org/wiki/Nebraska%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Mike_Flood_(politician),Yea,,-1,Yea,-1,,,-2
Nebraska 2,Don Bacon,Republican,236,https://en.wikipedia.org/wiki/Nebraska%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Don_Bacon,Yea,,-1,Yea,-1,,,-2
Nebraska 3,Adrian Smith,Republican,237,https://en.wikipedia.org/wiki/Nebraska%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Adrian_Smith_(politician),Yea,,-1,Yea,-1,,,-2
Nevada 1,Dina Titus,Democratic,238,https://en.wikipedia.org/wiki/Nevada%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Dina_Titus,Yea,,-1,Nay,1,,,0
Nevada 2,Mark Amodei,Republican,239,https://en.wikipedia.org/wiki/Nevada%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Mark_Amodei,Yea,,-1,Yea,-1,,,-2
Nevada 3,Susie Lee,Democratic,240,https://en.wikipedia.org/wiki/Nevada%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Susie_Lee,Yea,,-1,Nay,1,,,0
Nevada 4,Steven Horsford,Democratic,241,https://en.wikipedia.org/wiki/Nevada%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Steven_Horsford,Yea,,-1,Nay,1,,,0
New Hampshire 1,Chris Pappas,Democratic,242,https://en.wikipedia.org/wiki/New_Hampshire%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),Yea,,-1,Nay,1,,,0
New Hampshire 2,Maggie Goodlander,Democratic,243,https://en.wikipedia.org/wiki/New_Hampshire%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Maggie_Goodlander,Yea,,-1,Nay,1,,,0
New Jersey 1,Donald Norcross,Democratic,244,https://en.wikipedia.org/wiki/New_Jersey%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Donald_Norcross,Nay,,1,Nay,1,,,2
New Jersey 2,Jeff Van Drew,Republican,245,https://en.wikipedia.org/wiki/New_Jersey%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Jeff_Van_Drew,Yea,,-1,Yea,-1,,,-2
New Jersey 3,Herb Conaway,Democratic,246,https://en.wikipedia.org/wiki/New_Jersey%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Herb_Conaway,Nay,,1,Nay,1,,,2
New Jersey 4,Chris Smith,Republican,247,https://en.wikipedia.org/wiki/New_Jersey%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Chris_Smith_(New_Jersey_politician),Yea,,-1,Yea,-1,,,-2
New Jersey 5,Josh Gottheimer,Democratic,248,https://en.wikipedia.org/wiki/New_Jersey%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Josh_Gottheimer,Yea,,-1,Nay,1,,,0
New Jersey 6,Frank Pallone,Democratic,249,https://en.wikipedia.org/wiki/New_Jersey%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Frank_Pallone,Nay,,1,Nay,1,,,2
New Jersey 7,Thomas Kean Jr.,Republican,250,https://en.wikipedia.org/wiki/New_Jersey%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Thomas_Kean_Jr.,Yea,,-1,Yea,-1,,,-2
New Jersey 8,Rob Menendez,Democratic,251,https://en.wikipedia.org/wiki/New_Jersey%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Rob_Menendez,Nay,,1,Nay,1,,,2
New Jersey 9,Nellie Pou,Democratic,252,https://en.wikipedia.org/wiki/New_Jersey%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Nellie_Pou,Nay,,1,Nay,1,,,2
New Jersey 10,LaMonica McIver,Democratic,253,https://en.wikipedia.org/wiki/New_Jersey%27s_10th_congressional_district,https://en.wikipedia.org/wiki/LaMonica_McIver,Nay,,1,Nay,1,,,2
New Jersey 11,Mikie Sherrill,Democratic,254,https://en.wikipedia.org/wiki/New_Jersey%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Mikie_Sherrill,Nay,,1,Nay,1,,,2
New Jersey 12,Bonnie Watson Coleman,Democratic,255,https://en.wikipedia.org/wiki/New_Jersey%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Bonnie_Watson_Coleman,Nay,,1,Nay,1,,,2
New Mexico 1,Melanie Stansbury,Democratic,256,https://en.wikipedia.org/wiki/New_Mexico%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Melanie_Stansbury,Nay,,1,Nay,1,,,2
New Mexico 2,Gabe Vasquez,Democratic,257,https://en.wikipedia.org/wiki/New_Mexico%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Gabe_Vasquez,Nay,,1,Nay,1,,,2
New Mexico 3,Teresa Leger Fernandez,Democratic,258,https://en.wikipedia.org/wiki/New_Mexico%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,Nay,,1,Nay,1,,,2
New York 1,Nick LaLota,Republican,259,https://en.wikipedia.org/wiki/New_York%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Nick_LaLota,Yea,,-1,Yea,-1,,,-2
New York 2,Andrew Garbarino,Republican,260,https://en.wikipedia.org/wiki/New_York%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Andrew_Garbarino,Yea,,-1,Yea,-1,,,-2
New York 3,Tom Suozzi,Democratic,261,https://en.wikipedia.org/wiki/New_York%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Tom_Suozzi,Yea,,-1,Nay,1,,,0
New York 4,Laura Gillen,Democratic,262,https://en.wikipedia.org/wiki/New_York%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Laura_Gillen,Yea,,-1,Nay,1,,,0
New York 5,Gregory Meeks,Democratic,263,https://en.wikipedia.org/wiki/New_York%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Gregory_Meeks,Nay,,1,Nay,1,,,2
New York 6,Grace Meng,Democratic,264,https://en.wikipedia.org/wiki/New_York%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Grace_Meng,Nay,,1,Nay,1,,,2
New York 7,Nydia Velázquez,Democratic,265,https://en.wikipedia.org/wiki/New_York%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Nydia_Vel%C3%A1zquez,Nay,,1,Nay,1,,,2
New York 8,Hakeem Jeffries,Democratic,266,https://en.wikipedia.org/wiki/New_York%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Hakeem_Jeffries,Nay,,1,Nay,1,,,2
New York 9,Yvette Clarke,Democratic,267,https://en.wikipedia.org/wiki/New_York%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Yvette_Clarke,Nay,,1,Nay,1,,,2
New York 10,Dan Goldman,Democratic,268,https://en.wikipedia.org/wiki/New_York%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Dan_Goldman,Nay,,1,Nay,1,,,2
New York 11,Nicole Malliotakis,Republican,269,https://en.wikipedia.org/wiki/New_York%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Nicole_Malliotakis,Yea,,-1,Yea,-1,,,-2
New York 12,Jerry Nadler,Democratic,270,https://en.wikipedia.org/wiki/New_York%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Jerry_Nadler,Nay,,1,Nay,1,,,2
