District,Name,Party,#,District Wiki URL,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points,Vote on H.R.1968,Vote on 1968 Points,,,Sum
California 11,Nancy Pelosi,Democratic,33,https://en.wikipedia.org/wiki/California%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Nancy_Pelosi,Not Voting,,0,Nay,1,,,1
California 12,Lateefah Simon,Democratic,34,https://en.wikipedia.org/wiki/California%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Lateefah_Simon,Nay,,1,Nay,1,,,2
California 13,Adam Gray,Democratic,35,https://en.wikipedia.org/wiki/California%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Adam_Gray,Yea,,-1,Nay,1,,,0
California 14,Eric Swalwell,Democratic,36,https://en.wikipedia.org/wiki/California%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Eric_Swalwell,Nay,,1,Nay,1,,,2
California 15,Kevin Mullin,Democratic,37,https://en.wikipedia.org/wiki/California%27s_15th_congressional_district,https://en.wikipedia.org/wiki/Kevin_Mullin,Nay,,1,Nay,1,,,2
California 16,Sam Liccardo,Democratic,38,https://en.wikipedia.org/wiki/California%27s_16th_congressional_district,https://en.wikipedia.org/wiki/Sam_Liccardo,Nay,,1,Nay,1,,,2
California 17,Ro Khanna,Democratic,39,https://en.wikipedia.org/wiki/California%27s_17th_congressional_district,https://en.wikipedia.org/wiki/Ro_Khanna,Nay,,1,Nay,1,,,2
California 18,Zoe Lofgren,Democratic,40,https://en.wikipedia.org/wiki/California%27s_18th_congressional_district,https://en.wikipedia.org/wiki/Zoe_Lofgren,Nay,,1,Nay,1,,,2
California 19,Jimmy Panetta,Democratic,41,https://en.wikipedia.org/wiki/California%27s_19th_congressional_district,https://en.wikipedia.org/wiki/Jimmy_Panetta,Nay,,1,Nay,1,,,2
California 20,Vince Fong,Republican,42,https://en.wikipedia.org/wiki/California%27s_20th_congressional_district,https://en.wikipedia.org/wiki/Vince_Fong,Yea,,-1,Yea,-1,,,-2
